"ProductKey"	"CurrencyAlternateKey"	"FIRST_NAME"	"LAST_NAME"	"OrderDateKey"	"OrderQuantity"	"UnitPrice"	"SecretCode"
"321"	"AUD"	"Adams"	"Amber"	"07.08.2012 00:00:00"	"1"	"782,99"	"3A449C9325"
"333"	"AUD"	"Alan"	"Bob"	"13.11.2012 00:00:00"	"1"	"782,99"	"70B36D4AFD"
"329"	"AUD"	"Alexander"	"Austin"	"17.08.2012 00:00:00"	"1"	"782,99"	"4A945B790E"
"480"	"AUD"	"Alexander"	"Austin"	"15.02.2013 00:00:00"	"1"	"2,29"	"7E569DCEDE"
"486"	"AUD"	"Alexander"	"Austin"	"15.02.2013 00:00:00"	"1"	"159,00"	"BDB70F6FEE"
"538"	"AUD"	"Alexander"	"Austin"	"15.02.2013 00:00:00"	"1"	"21,49"	"9F3315E806"
"604"	"AUD"	"Alexander"	"Austin"	"15.02.2013 00:00:00"	"1"	"539,99"	"24F5EAB45F"
"354"	"AUD"	"Alexander"	"Elizabeth"	"19.05.2012 00:00:00"	"1"	"2071,4196"	"EA5E91B935"
"480"	"AUD"	"Alexander"	"Gabriel"	"13.02.2013 00:00:00"	"1"	"2,29"	"C749BE6149"
"529"	"AUD"	"Alexander"	"Gabriel"	"13.02.2013 00:00:00"	"1"	"3,99"	"2E2695DC06"
"540"	"AUD"	"Alexander"	"Gabriel"	"13.02.2013 00:00:00"	"1"	"32,60"	"0E0B85B94B"
"358"	"AUD"	"Alexander"	"Olivia"	"24.09.2012 00:00:00"	"1"	"2049,0982"	"1EB3335DA5"
"310"	"AUD"	"Allen"	"Alexandra"	"30.03.2011 00:00:00"	"1"	"3578,27"	"EE84A39565"
"358"	"AUD"	"Allen"	"Ian"	"03.12.2012 00:00:00"	"1"	"2049,0982"	"ED1C14BD22"
"343"	"AUD"	"Allen"	"Kaylee"	"12.07.2012 00:00:00"	"1"	"782,99"	"7EE6EFF603"
"321"	"AUD"	"Allen"	"Luis"	"03.01.2012 00:00:00"	"1"	"782,99"	"0A8D254153"
"375"	"AUD"	"Allen"	"Mary"	"25.01.2012 00:00:00"	"1"	"2181,5625"	"7E38F5B0DB"
"371"	"AUD"	"Alonso"	"Alfredo"	"25.07.2012 00:00:00"	"1"	"2181,5625"	"BFBAD04843"
"360"	"AUD"	"Alonso"	"Armando"	"01.07.2012 00:00:00"	"1"	"2049,0982"	"5975483AFB"
"375"	"AUD"	"Alonso"	"Casey"	"21.08.2012 00:00:00"	"1"	"2181,5625"	"8CC4B4EEA6"
"313"	"AUD"	"Alonso"	"Danny"	"09.05.2011 00:00:00"	"1"	"3578,27"	"F08EF40A29"
"214"	"AUD"	"Alonso"	"Danny"	"12.01.2013 00:00:00"	"1"	"34,99"	"EE28A55AF2"
"378"	"AUD"	"Alonso"	"Danny"	"12.01.2013 00:00:00"	"1"	"2443,35"	"EA8D56E54D"
"379"	"AUD"	"Alonso"	"Diana"	"10.12.2012 00:00:00"	"1"	"2181,5625"	"271DD8D6AE"
"313"	"AUD"	"Alonso"	"Gary"	"14.07.2011 00:00:00"	"1"	"3578,27"	"25F1330A8E"
"311"	"AUD"	"Alonso"	"Gloria"	"06.09.2011 00:00:00"	"1"	"3578,27"	"88A9A4C39A"
"310"	"AUD"	"Alonso"	"Kristine"	"02.02.2011 00:00:00"	"1"	"3578,27"	"4DE2992B6A"
"379"	"AUD"	"Alonso"	"Meghan"	"02.11.2012 00:00:00"	"1"	"2181,5625"	"6C778D62F4"
"312"	"AUD"	"Alonso"	"Meredith"	"06.12.2011 00:00:00"	"1"	"3578,27"	"5E70388172"
"356"	"AUD"	"Alonso"	"Naomi"	"20.12.2012 00:00:00"	"1"	"2071,4196"	"E27F2874FA"
"377"	"AUD"	"Alonso"	"Renee"	"14.10.2012 00:00:00"	"1"	"2181,5625"	"A7B5CBB65C"
"362"	"AUD"	"Alonso"	"Ricky"	"17.08.2012 00:00:00"	"1"	"2049,0982"	"422DD2066E"
"529"	"AUD"	"Alonso"	"Teresa"	"02.02.2013 00:00:00"	"1"	"3,99"	"E5A9009A80"
"487"	"AUD"	"Alonso"	"Teresa"	"09.02.2013 00:00:00"	"1"	"54,99"	"4FE36170C5"
"310"	"AUD"	"Alvarez"	"Albert"	"30.12.2010 00:00:00"	"1"	"3578,27"	"3D5AB8BAA9"
"377"	"AUD"	"Alvarez"	"Carrie"	"23.07.2012 00:00:00"	"1"	"2181,5625"	"906CB487E1"
"362"	"AUD"	"Alvarez"	"Diana"	"14.07.2012 00:00:00"	"1"	"2049,0982"	"03BD00A876"
"373"	"AUD"	"Alvarez"	"Francis"	"10.02.2012 00:00:00"	"1"	"2181,5625"	"523F44C7B3"
"312"	"AUD"	"Alvarez"	"Gloria"	"25.06.2011 00:00:00"	"1"	"3578,27"	"358B62D5DD"
"346"	"AUD"	"Alvarez"	"Janet"	"24.01.2011 00:00:00"	"1"	"3399,99"	"648424F0FE"
"357"	"AUD"	"Alvarez"	"Janet"	"29.12.2012 00:00:00"	"1"	"2319,99"	"1CA594EE99"
"477"	"AUD"	"Alvarez"	"Janet"	"29.12.2012 00:00:00"	"1"	"4,99"	"125CD99739"
"478"	"AUD"	"Alvarez"	"Janet"	"29.12.2012 00:00:00"	"1"	"9,99"	"0295884F8A"
"362"	"AUD"	"Alvarez"	"Jessie"	"04.09.2012 00:00:00"	"1"	"2049,0982"	"EC77031712"
"348"	"AUD"	"Alvarez"	"Kari"	"03.05.2011 00:00:00"	"1"	"3374,99"	"2060E8CB5C"
"361"	"AUD"	"Alvarez"	"Kari"	"30.12.2012 00:00:00"	"1"	"2294,99"	"0BE39FDCD6"
"537"	"AUD"	"Alvarez"	"Kari"	"30.12.2012 00:00:00"	"1"	"35,00"	"6A72215161"
"360"	"AUD"	"Alvarez"	"Kendra"	"20.11.2012 00:00:00"	"1"	"2049,0982"	"061F28CCE0"
"360"	"AUD"	"Alvarez"	"Kristy"	"02.11.2012 00:00:00"	"1"	"2049,0982"	"13126396B0"
"352"	"AUD"	"Alvarez"	"Larry"	"23.09.2012 00:00:00"	"1"	"2071,4196"	"7C56F84BCB"
"352"	"AUD"	"Alvarez"	"Linda"	"31.07.2012 00:00:00"	"1"	"2071,4196"	"8A37BFDA66"
"214"	"AUD"	"Alvarez"	"Linda"	"09.01.2013 00:00:00"	"1"	"34,99"	"3BB34A135A"
"579"	"AUD"	"Alvarez"	"Linda"	"09.01.2013 00:00:00"	"1"	"1214,85"	"EACE3BC739"
"343"	"AUD"	"Alvarez"	"Lori"	"02.08.2012 00:00:00"	"1"	"782,99"	"68BA1A63AF"
"375"	"AUD"	"Alvarez"	"Marvin"	"05.09.2012 00:00:00"	"1"	"2181,5625"	"CEFE2C9C34"
"345"	"AUD"	"Alvarez"	"Max"	"22.11.2011 00:00:00"	"1"	"3399,99"	"952B0D6CF8"
"343"	"AUD"	"Alvarez"	"Randall"	"22.09.2012 00:00:00"	"1"	"782,99"	"62B5401B83"
"312"	"AUD"	"Alvarez"	"Reginald"	"02.07.2011 00:00:00"	"1"	"3578,27"	"91C5DAC943"
